GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
flightreservation,com.flightreservation.flightreservation.security.config,WebSecurityConfig,98,0,0,0,16,0,4,0,4,0
flightreservation,com.flightreservation.flightreservation.domains,AbstractEntity,10,0,0,0,4,0,3,0,3,0
flightreservation,com.flightreservation.flightreservation.domains,Flight,90,0,0,0,20,0,14,0,14,0
flightreservation,com.flightreservation.flightreservation.domains,Reservation,58,0,0,0,14,0,10,0,10,0
flightreservation,com.flightreservation.flightreservation.domains,User,73,0,0,0,17,0,12,0,12,0
flightreservation,com.flightreservation.flightreservation.domains,Passenger,80,0,0,0,17,0,12,0,12,0
flightreservation,com.flightreservation.flightreservation.domains,Role,34,0,0,0,9,0,7,0,7,0
flightreservation,com.flightreservation.flightreservation.controllers,ReservationController,86,0,2,0,15,0,5,0,4,0
flightreservation,com.flightreservation.flightreservation.controllers,ReservationRestController,117,0,4,0,17,0,6,0,4,0
flightreservation,com.flightreservation.flightreservation.controllers,FlightController,64,0,0,0,11,0,5,0,5,0
flightreservation,com.flightreservation.flightreservation.controllers,UserController,145,0,6,0,28,0,9,0,6,0
flightreservation,com.flightreservation.flightreservation.dto,ReservationRequest,141,0,0,0,32,0,22,0,22,0
flightreservation,com.flightreservation.flightreservation.dto,ReservationUpdateRequest,24,0,0,0,10,0,7,0,7,0
flightreservation,com.flightreservation.flightreservation.services,SecurityServiceImpl,31,0,2,0,9,0,3,0,2,0
flightreservation,com.flightreservation.flightreservation.services,UserDetailsServiceImpl,37,0,2,0,7,0,3,0,2,0
flightreservation,com.flightreservation.flightreservation.services,ReservationServiceImpl,140,0,2,0,29,0,4,0,3,0
flightreservation,com.flightreservation.flightreservation.exceptions,UserAlreadyRegistered,4,0,0,0,2,0,1,0,1,0
flightreservation,com.flightreservation.flightreservation.exceptions,UserNotFound,4,0,0,0,2,0,1,0,1,0
flightreservation,com.flightreservation.flightreservation.exceptions,ReservationNotFound,4,0,0,0,2,0,1,0,1,0
flightreservation,com.flightreservation.flightreservation.exceptions,FlightNotFound,4,0,0,0,2,0,1,0,1,0
flightreservation,com.flightreservation.flightreservation.exceptions,TicketNotFound,4,0,0,0,2,0,1,0,1,0
flightreservation,com.flightreservation.flightreservation.util,EmailUtil,75,0,0,0,18,0,3,0,3,0
flightreservation,com.flightreservation.flightreservation.util,PdfGenerator,186,0,0,0,46,0,4,0,4,0
flightreservation,com.flightreservation.flightreservation,FlightreservationApplication,8,0,0,0,3,0,2,0,2,0
